Station_ID,Station_Name,Q_Median_Posterior,Progowa_Anomalia_95%,Progowe_Ekstremum_99%
20,BIALOBRZEGI,33.29574130297587,84.94089059331463,125.21727521320287
68,BOCHENIEC,1.4147141690362854,4.931563132417405,8.273788968719888
63,BORKOWO,10.309290717322527,45.913943754633195,85.26371499966962
65,BRODNICA,14.611199154089277,30.589677114602658,41.55041090193079
58,BRZEGI,9.430952038215153,26.042539314688774,39.67929029235104
59,BURZYN,19.547446224901453,98.46921271334278,192.63975640069333
57,CHMELNICA,12.465100755352767,34.13773247019664,51.81011526189515
51,CISNA,0.99042646235991,6.675647184497887,14.745807993186432
27,DALESZYCE,0.7761154027468773,2.775764665760995,4.7079141017808555
33,DOBRYLAS,12.854559200647103,27.959156252649905,38.57158050210556
53,ELGISZEWO,17.88639288955244,44.3177672844513,64.56786049843424
1,FRANKOPOL,101.5048113684424,387.295096450247,674.9573257423037
5,GOLKOWICE,35.801106473226966,69.61045239428391,91.69743910486994
43,HARASIUKI,10.514062533557532,32.828576859309834,52.60622479520476
62,JAGODNIKI,110.0603608220294,283.17741916288094,419.1433378722601
66,JELEN,13.247303205288382,23.49933418071803,29.795506309900446
19,JORDANOW,0.6795569380496093,3.598132382197134,7.1753111832251415
44,KARSY,191.09283365124261,475.23515829888015,692.9154517191091
29,KEPA POLSKA,835.8855902961689,2282.654271297826,3462.092421024834
3,KOSMIN,39.813577606673476,95.59123780310591,137.42355409054943
13,KRASNYSTAW,11.857606969743372,23.77488458330098,31.715018207560046
23,KRYLOW,26.55070630261239,101.09597805585175,176.04612877980685
69,KUNOW,4.516798967916799,13.701262865875083,21.693333646530526
26,LEZACHOW,65.17861015542663,218.5065802809583,360.9920780443389
52,LOCHOW,4.624265048946371,17.054327834399995,29.285603632481624
55,LOWICZ,6.690794657856216,38.41122543691754,79.1804181865172
31,LUBARTOW,20.368421788687456,46.4309063558504,65.33780064655946
2,MALOWA GORA,5.706551782479339,23.749652761844644,42.83857422145803
46,MIELEC 2,27.051214429264334,112.71076836701181,203.58667754675986
15,MODLIN,784.1887939930068,2172.3328755984994,3313.78703149602
30,MYSZYNIEC,0.2976856991382981,4.005189387785689,11.753146493540116
22,NIETULISKO DUZE,1.4689386159236175,4.930858453031415,8.143924875572182
36,NOWY SACZ,46.76944710064062,112.80508797784567,162.3957401257701
34,NOWY TARG,7.7721159474278965,18.248338781174944,25.990110137053502
47,OJCOW,0.4663515453995266,0.7125490273998278,0.8496782423396871
16,OSIELEC,2.3415630005964543,9.721441205698095,17.528075147187657
67,OSTROLEKA,55.7743424000534,170.60588464680353,271.27611938513576
37,PIATNICA-LOMZA,46.25163201271614,212.7859526474311,400.18426473543957
21,PINCZOW,18.198651537674408,47.49264671142549,70.67423484588619
4,POLANA,0.9218166733942961,3.762464067902023,6.738767532245958
24,PRZEDBORZ,11.248106462099578,29.806366445703485,44.65195279781033
28,PRZEMYSL,44.34239202600769,153.11151092284842,255.7552091312061
60,PTAKI,9.3980742380969,20.181561819855034,27.70050636430079
32,PUCHACZOW,0.8197254187406238,4.088478051577405,7.9669792346210375
17,PULAWY-AZOTY,436.6053946124049,1148.2355047398123,1712.939582289312
10,RADOMYSL NAD SANEM,85.1664008803474,276.6263246705004,450.59933389385697
48,RAJCZA,3.4186028699415463,16.480738715330762,31.625063485462
38,ROGOZEK,5.277729836339122,17.329028510183946,28.37654403053271
9,RZUCHOW,86.42164800293105,296.9654899377638,495.02344266147884
14,SANDOMIERZ,220.82564423218543,564.443904969157,832.605732125796
39,STARY SACZ,21.117054834846435,54.38368308427367,80.45309430153803
8,STREKOWA GORA,22.294673649405674,94.09764956821678,170.6609651363076
41,SURAZ,7.150672441171636,30.427381105326923,55.39884130908264
49,SZCZUCIN,173.23611664003718,434.16771041091044,635.1489984753582
61,TCHORZEW,6.009461837475266,33.539131450406515,68.3340962674682
54,TCZEW,716.8893821874942,1766.7870184017934,2565.776735014154
7,TRYNCZA,14.403100559493152,59.85017394874691,108.00909571442125
18,TUCHOLA,16.55484569157776,26.024338362580533,31.383461726211088
6,USTRON OBLAZIEC,1.5105163259052987,6.892398755958297,12.91874501526856
25,WADOWICE,11.266240075786904,28.830305633963718,42.54966521918713
12,WARSZAWA-NADWILANOWKA,535.288257044361,1364.4461843108575,2010.6534123162605
40,WISLA,0.7882603187841195,3.9995099692586367,7.84174362352538
50,WLOCLAWEK,839.535615269443,2268.33575570402,3423.32860029893
11,WLODAWA,48.36421834913469,195.53233178000687,348.70428543379114
35,WYSZKOW,97.35541458181198,332.42648098578286,552.9356498865848
56,ZABNO,78.8427332501733,209.13874965284037,313.30488551592885
45,ZAKOPANE  HARENDA,1.846661972279629,4.046581396908132,5.600711839834669
42,ZAMBSKI KOSCIELNE,86.33379754935706,300.4226329092042,503.61698449129096
64,ZAWADY,0.5046259361269763,1.7521719178791177,2.9336786494559446
